iter	Passed	Remaining
0	142	99636
1	287	100191
2	431	100253
3	578	100597
4	732	101757
5	892	103252
6	1059	104858
7	1228	106264
8	1395	107105
9	1558	107508
10	1737	108848
11	1902	109088
12	2080	109947
13	2230	109314
14	2396	109422
15	2563	109605
16	2729	109645
17	2898	109839
18	3058	109613
19	3198	108763
20	3336	107877
21	3491	107609
22	3654	107575
23	3824	107719
24	3980	107479
25	4149	107574
26	4307	107379
27	4448	106770
28	4581	105998
29	4720	105435
30	4854	104766
31	4987	104107
32	5123	103558
33	5246	102779
34	5379	102210
35	5501	101472
36	5623	100766
37	5772	100568
38	5927	100460
39	6074	100230
40	6209	99802
41	6333	99223
42	6460	98705
43	6603	98451
44	6734	98030
45	6878	97791
46	7018	97513
47	7178	97508
48	7339	97516
49	7517	97732
50	7665	97549
51	7802	97227
52	7950	97051
53	8142	97405
54	8274	97040
55	8403	96642
56	8560	96567
57	8708	96397
58	8851	96168
59	8979	95785
60	9126	95599
61	9253	95225
62	9391	94958
63	9547	94879
64	9670	94469
65	9807	94208
66	9941	93924
67	10087	93750
68	10202	93305
69	10332	92990
70	10470	92762
71	10611	92556
72	10749	92331
73	10887	92106
74	11037	91980
75	11198	91947
76	11331	91686
77	11485	91587
78	11647	91559
79	11800	91451
80	11965	91438
81	12132	91439
82	12285	91324
83	12433	91181
84	12570	90953
85	12719	90811
86	12877	90732
87	13035	90657
88	13186	90529
89	13342	90432
90	13505	90385
91	13665	90311
92	13820	90205
93	13979	90125
94	14143	90070
95	14296	89945
96	14448	89821
97	14586	89604
98	14726	89400
99	14876	89257
100	15008	89008
101	15132	88716
102	15259	88443
103	15410	88312
104	15547	88101
105	15681	87875
106	15815	87649
107	15952	87441
108	16085	87216
109	16225	87029
110	16362	86826
111	16482	86530
112	16625	86362
113	16761	86160
114	16881	85877
115	17018	85679
116	17149	85455
117	17281	85237
118	17405	84979
119	17540	84781
120	17689	84644
121	17847	84556
122	18003	84454
123	18182	84462
124	18349	84408
125	18496	84263
126	18664	84212
127	18819	84097
128	18974	83986
129	19140	83924
130	19306	83856
131	19464	83757
132	19626	83671
133	19768	83499
134	19908	83319
135	20046	83133
136	20198	83005
137	20365	82937
138	20531	82864
139	20691	82764
140	20865	82723
141	21039	82676
142	21198	82568
143	21361	82479
144	21542	82456
145	21701	82346
146	21844	82178
147	22004	82071
148	22168	81980
149	22334	81892
150	22495	81787
151	22667	81721
152	22814	81566
153	22968	81432
154	23133	81340
155	23293	81229
156	23460	81141
157	23614	81006
158	23784	80925
159	23942	80807
160	24146	80836
161	24315	80752
162	24468	80612
163	24620	80468
164	24780	80349
165	24940	80231
166	25101	80113
167	25252	79967
168	25410	79839
169	25582	79755
170	25738	79622
171	25864	79397
172	26006	79222
173	26143	79032
174	26280	78840
175	26419	78656
176	26548	78445
177	26687	78263
178	26816	78052
179	26962	77890
180	27093	77688
181	27243	77538
182	27383	77360
183	27523	77186
184	27702	77117
185	27867	77009
186	28034	76906
187	28206	76817
188	28342	76629
189	28488	76469
190	28625	76283
191	28763	76103
192	28920	75971
193	29071	75825
194	29228	75693
195	29392	75580
196	29555	75462
197	29745	75415
198	29915	75315
199	30074	75186
200	30252	75103
201	30420	74997
202	30571	74848
203	30724	74702
204	30859	74513
205	31008	74361
206	31146	74179
207	31286	74004
208	31435	73850
209	31602	73739
210	31759	73603
211	31927	73492
212	32103	73400
213	32264	73273
214	32428	73152
215	32590	73026
216	32764	72928
217	32939	72829
218	33109	72720
219	33266	72580
220	33432	72461
221	33594	72334
222	33747	72185
223	33885	72007
224	34070	71926
225	34238	71808
226	34400	71679
227	34547	71520
228	34754	71481
229	34928	71375
230	35099	71262
231	35266	71141
232	35417	70987
233	35549	70795
234	35700	70641
235	35847	70480
236	35995	70320
237	36184	70239
238	36363	70140
239	36522	70001
240	36670	69841
241	36811	69667
242	36949	69490
243	37083	69303
244	37214	69112
245	37356	68941
246	37492	68761
247	37633	68590
248	37782	68434
249	37948	68307
250	38105	68165
251	38267	68030
252	38426	67892
253	38574	67732
254	38727	67583
255	38869	67414
256	39024	67267
257	39166	67098
258	39324	66957
259	39478	66809
