model,fold,roc_auc,mean_roc_auc
Logistic baseline,1,0.9596499167588135,0.9601902079830774
Logistic baseline,2,0.9601770559216332,0.9601902079830774
Logistic baseline,3,0.9607723666158414,0.9601902079830774
Logistic baseline,4,0.959285970913284,0.9601902079830774
Logistic baseline,5,0.9610657297058146,0.9601902079830774
CatBoost baseline,1,0.9694536415537709,0.9706544208434194
CatBoost baseline,2,0.9710061513700154,0.9706544208434194
CatBoost baseline,3,0.9703837154345161,0.9706544208434194
CatBoost baseline,4,0.9705836865310968,0.9706544208434194
CatBoost baseline,5,0.9718449093276975,0.9706544208434194
LightGBM baseline,1,0.9709259628660428,0.9715483892722073
LightGBM baseline,2,0.9723610152603963,0.9715483892722073
LightGBM baseline,3,0.9703390135372496,0.9715483892722073
LightGBM baseline,4,0.971874169480134,0.9715483892722073
LightGBM baseline,5,0.9722417852172138,0.9715483892722073
