feature,importance
session_duration_seconds,23.472889954397896
f10,21.65528974398002
f11,20.569137006143947
f7,5.112553040166267
f12,4.645284497467989
idle_gap_seconds,4.585983006482881
cart_to_min_order_gap,2.974103222740305
f9,2.9074004162647684
f16,1.7999303239989504
discount_to_min_order_ratio,1.7986507718343945
avg_item_value,1.540981503807317
meets_min_order,1.448877902198855
f14,1.4269580802707416
f17,1.2117641026786963
active_span_seconds,1.0480947539822172
session_start_dayofweek,0.9749861461888962
discount_to_cart_ratio,0.7016749968353513
session_start_hour,0.6591045740989732
f13,0.6229073233922313
f15,0.3826684725495189
f6,0.3567590539375523
session_start_is_weekend,0.08807547116636705
declined_offer_ratio,0.013928946431095789
f8,0.0019966889847118485
id,0.0
f2,0.0
