feature,importance
f16,1459
idle_gap_seconds,1455
avg_item_value,1270
session_duration_seconds,1042
f11,886
discount_to_cart_ratio,832
session_start_hour,804
cart_to_min_order_gap,734
active_span_seconds,650
cart_value_per_offer,626
session_start_dayofweek,542
active_share,521
idle_share,503
cart_gap_surplus,440
discount_to_min_order_ratio,428
f10,375
f6,348
items_per_offer,338
promo_type_response_combo,271
discount_per_offer_shown,267
cart_gap_shortfall,210
f13,161
offers_remaining_after_declines,142
f9,141
f15,121
f7,104
action_promo_combo,50
session_start_is_weekend,49
session_part_of_day,47
cart_has_items,35
f8,35
declined_offer_ratio,24
promo_response_declined,24
action_response_combo,14
promo_response_accepted,14
promo_response_ignored,12
f12,10
f12_missing,5
has_any_offer,4
meets_min_order,4
f17,2
f14_missing,1
f14,0
promotion_present,0
promo_response_group,0
is_returning_customer,0
f13_missing,0
f15_missing,0
f17_missing,0
