feature,importance
idle_gap_seconds,1980
f16,1937
avg_item_value,1897
session_duration_seconds,1389
f11,1214
discount_to_cart_ratio,1212
session_start_hour,1165
cart_to_min_order_gap,1088
cart_value_per_offer,912
active_span_seconds,859
session_start_dayofweek,829
active_share,697
discount_to_min_order_ratio,686
cart_gap_surplus,629
idle_share,629
f10,531
items_per_offer,519
f6,442
promo_type_response_combo,392
discount_per_offer_shown,319
cart_gap_shortfall,245
f13,242
f9,232
offers_remaining_after_declines,209
f15,182
f7,157
session_part_of_day,67
session_start_is_weekend,47
action_promo_combo,44
declined_offer_ratio,42
f8,42
cart_has_items,37
promo_response_declined,34
action_response_combo,33
promo_response_accepted,19
promo_response_ignored,19
f12,13
has_any_offer,4
meets_min_order,3
promotion_present,2
f14_missing,1
f17,0
f14,0
is_returning_customer,0
promo_response_group,0
f12_missing,0
f13_missing,0
f15_missing,0
f17_missing,0
